author,title,date,love
Donald Keene, Chronicles of My Life: American in the Heart of Japan, 2019-04-11
William Dalrymple, City of Djinns, 2019-04-06, +
Neil Gaiman, Stardust, 2019-04-04
Robert Jordan, The Great Hunt, 2019-03-16
David Mitchell, Number9Dream, 2019-03-08, +
निर्मल वर्मा, रात का रिपिर्टर, 2019-02-24, +
John McWhorter, The Story of Human Language (Great Courses), 2019-02-18
Chimamanda Ngozi Adichie, Half of a Yellow Sun, 2019-01-30, +
To The Blight, Robert Jordan, 2019-01-06
देवकीनंदन खत्री, चंद्रकांता, 2019-01-02
सआदत हसन मंटो, ठंडा गोश्त, 2018-12-12, +
From the Two Rivers, Robert Jordan, 2018-12-08
新美南吉, 手袋を買いに, 2018-11-24
Alan Paton,"Cry, The Beloved Country", 2018-11-22, +
Anthony Doerr, All The Light We Cannot See, 2018-11-13, +
Emily St. John Mandel, Station Eleven, 2018-10-16
Jomny Sun, everyone's a aliebn when ur a aliebn too, 2018-10-06
David Mitchell, A Thousand Autumns of Jacob de Zoet, 2018-09-27, +
Neil Gaiman, Norse Mythology, 2018-08-15
"Hermann Hesse, Hilda Rosner (translator)", Siddhartha, 2018-07-16, +
Claude M. Steele, Whistling Vivaldi, 2018-06-19, +
Benjamin Hoff, The Tao of Pooh, 2018-06-01
Ramchandra Guha, India after Gandhi: The History of the World's Largest Democracy, 2018-05-15, +
"जवाहरलाल नेहरू, प्रेमचंद (अनुवादक)", पिता के पत्र पुत्री के नाम, 2018-05-10
Henrik Ibsen, A Doll's House, 2018-01-07, +
George Orwell, Nineteen Eighty-Four, 2018-01-05, +
"Rabindranath Tagore, Sreejata Guha (translator)", The Home and the World, 2017-12-05, +
"हरिवंश राय बच्चन, अजितकुमार (संक्षेपक)", बच्चन की आत्मकथा, 2017-11-30
Rabindranath Tagore, Creative Unity, 2017-10-15, +
Rabindranath Tagore, Nationalism, 2017-09-15, +
Charlie Jane Anders, All the Birds in the Sky, 2017-09-07
Tara Chand, The Problem of Hindustani, 2017-08-22
अमरकांत, मेरी प्रिय कहानियाँ, 2017-07-01
धर्मवीर भारती, गुनाहों का देवता, 2017-06-01
Stephen Pinker, The Language Instinct, 2017-05-01, +
Ramesh Menon, The Mahabharata: A Modern Rendering, 2017-04-01
Robert Reich, Saving Capitalism: For the Many not the Few, 2016-12-12
J. D. Vance, Hillbilly Elegy,  2016-11-12
"Agnès Martin-Lugand, Sandra Smith (translator)", Happy People Read and Drink Coffee, 2016-08-31
Cory Doctorow, Information Doesn't Want to be Free, 2016-08-10, +
David Bellos, Is That a Fish in Your Ear?, 2016-07-17
Salman Rushdie, Luka and the Fire of Life, 2016-06-01
Duane Cady, From Warism to Pacifism: A Moral Continuum, 2016-05-15
Johann Hari, Chasing the Scream, 2015-11-23, +
Philip Pullman, His Dark Materials Trilogy, 2015-10-10, +
Kahlil Gibran, The Prophet, 2015-09-16
David Mitchell, Cloud Atlas, 2015-08-26, +
निर्मल वर्मा, वे दिन, 2015-05-01
Eli Shafak, Forty Rules of Love, 2015-01-02
Kitty Burns Flores, Sister Bernadette's Barking Dog, 2015-12-14
Sam Harris, Waking Up, 2014-12-08
Glenn Greenwald, No Place to Hide, 2014-12-04
Neil Gaiman, American Gods, 2014-06-01
David Benioff, City of Theives, 2014-05-01
Hari Kunzru, Gods Without Men, 2014-04-24, +
Neil Gaiman, Ocean at the End of the Lane, 2014-01-08, +
Toni Morrison, Beloved, 2013-12-25, +
John Steinbeck, The Pearl, 2013-12-16
Truman Capote, Breakfast at Tiffany's, 2013-12-15
Hugh Howey, Wool, 2013-11-29
Steig Larsson & Reg Keeland, The Girl With The Dragon Tattoo, 2013-08-27
Yann Martel, Life of Pi, 2013-06-14
F. Scott Fitzgerald, The Curious Case of Benjamin Button, 2013-06-01
Paul Zindel, The Effect of Gamma Rays on Man-in-the-Moon Marigolds, 2013-05-17, +
Michael Kazin, American Dreamers, 2013-05-16
Karl Marx, The Communist Manifesto, 2013-02-01
John Steinbeck, The Grapes of Wrath, 2013-01-30, +
Khaled Hosseini, The Kite Runner, 2013-01-11
Michael Ondaatje, The Cat's Table, 2013-01-09, +
Paul Harding, Tinkers, 2013-01-04
John Quiggin, Zombie Economics, 2012-08-16
Julian Barnes, The Sense of an Ending, 2012-08-02
Salman Rushdie, Midnight's Children, 2012-07-29, +
Charles Simic, The Confessions of a Poet Laureate, 2012-05-08
Denis Johnson, Train Dreams, 2012-05-08
Charles Simic, The World Doesn't End, 2012-04-29, +
Justin Torres, We The Animals, 2011-09-17
H. G. Wells , The Island of Doctor Moreau, 2011-08-19
Sinclair Lewis, Babbitt, 2011-07-26
Patrick Rothfuss, The Name of the Wind, 2011-07-07
Chuck Palahniuk, Fight Club, 2011-05-15
H. G. Wells, The War of the Worlds, 2011-03-17
